2023-05-07T19:56:46.212Z | kPaGU | user2 | 86
2023-05-07T19:56:46.336Z | kPaGU | user1 | 86
2023-05-07T19:56:46.447Z | kPaGU | user4 | 86
2023-05-07T19:56:46.524Z | kPaGU | desmond | 88
2023-05-07T19:56:46.527Z | kPaGU | user3 | 88
2023-05-07T19:56:46.824Z | kPaGU | user5 | 88
2023-05-07T19:56:47.056Z | kPaGU | user0 | 87
2023-05-07T19:56:47.213Z | kPaGU | user2 | 87
2023-05-07T19:56:47.339Z | kPaGU | user1 | 87
2023-05-07T19:56:47.449Z | kPaGU | user4 | 87
2023-05-07T19:56:47.526Z | kPaGU | desmond | 88
2023-05-07T19:56:47.530Z | kPaGU | user3 | 87
2023-05-07T19:56:47.827Z | kPaGU | user5 | 88
2023-05-07T19:56:48.065Z | kPaGU | user0 | 88
2023-05-07T19:56:48.214Z | kPaGU | user2 | 88
2023-05-07T19:56:48.341Z | kPaGU | user1 | 88
2023-05-07T19:56:48.450Z | kPaGU | user4 | 89
2023-05-07T19:56:48.529Z | kPaGU | desmond | 89
2023-05-07T19:56:48.531Z | kPaGU | user3 | 88
2023-05-07T19:56:48.829Z | kPaGU | user5 | 89
2023-05-07T19:56:49.067Z | kPaGU | user0 | 89
2023-05-07T19:56:49.216Z | kPaGU | user2 | 89
2023-05-07T19:56:49.344Z | kPaGU | user1 | 89
2023-05-07T19:56:49.453Z | kPaGU | user4 | 89
2023-05-07T19:56:49.530Z | kPaGU | desmond | 90
2023-05-07T19:56:49.539Z | kPaGU | user3 | 89
2023-05-07T19:56:49.832Z | kPaGU | user5 | 89
2023-05-07T19:56:50.068Z | kPaGU | user0 | 90
2023-05-07T19:56:50.219Z | kPaGU | user2 | 90
2023-05-07T19:56:50.354Z | kPaGU | user1 | 90
2023-05-07T19:56:50.454Z | kPaGU | user4 | 90
2023-05-07T19:56:50.543Z | kPaGU | user3 | 90
2023-05-07T19:56:50.531Z | kPaGU | desmond | 91
2023-05-07T19:56:50.834Z | kPaGU | user5 | 91
2023-05-07T19:56:51.070Z | kPaGU | user0 | 91
2023-05-07T19:56:51.220Z | kPaGU | user2 | 91
2023-05-07T19:56:51.356Z | kPaGU | user1 | 91
2023-05-07T19:56:51.456Z | kPaGU | user4 | 92
2023-05-07T19:56:51.533Z | kPaGU | desmond | 91
2023-05-07T19:56:51.545Z | kPaGU | user3 | 91
2023-05-07T19:56:51.836Z | kPaGU | user5 | 91
2023-05-07T19:56:52.073Z | kPaGU | user0 | 91
2023-05-07T19:56:52.222Z | kPaGU | user2 | 91
2023-05-07T19:56:52.358Z | kPaGU | user1 | 91
2023-05-07T19:56:52.459Z | kPaGU | user4 | 91
2023-05-07T19:56:52.536Z | kPaGU | desmond | 92
2023-05-07T19:56:52.546Z | kPaGU | user3 | 92
2023-05-07T19:56:52.838Z | kPaGU | user5 | 92
2023-05-07T19:56:53.076Z | kPaGU | user0 | 92
2023-05-07T19:56:53.224Z | kPaGU | user2 | 92
2023-05-07T19:56:53.361Z | kPaGU | user1 | 92
2023-05-07T19:56:53.463Z | kPaGU | user4 | 92
2023-05-07T19:56:53.538Z | kPaGU | desmond | 93
2023-05-07T19:56:53.547Z | kPaGU | user3 | 92
2023-05-07T19:56:53.840Z | kPaGU | user5 | 92
2023-05-07T19:56:54.079Z | kPaGU | user0 | 93
2023-05-07T19:56:54.227Z | kPaGU | user2 | 94
2023-05-07T19:56:54.363Z | kPaGU | user1 | 93
2023-05-07T19:56:54.463Z | kPaGU | user4 | 93
2023-05-07T19:56:54.539Z | kPaGU | desmond | 94
2023-05-07T19:56:54.548Z | kPaGU | user3 | 94
2023-05-07T19:56:54.841Z | kPaGU | user5 | 94
2023-05-07T19:56:55.081Z | kPaGU | user0 | 94
2023-05-07T19:56:55.230Z | kPaGU | user2 | 94
2023-05-07T19:56:55.365Z | kPaGU | user1 | 94
2023-05-07T19:56:55.464Z | kPaGU | user4 | 95
2023-05-07T19:56:55.542Z | kPaGU | desmond | 95
2023-05-07T19:56:55.549Z | kPaGU | user3 | 95
2023-05-07T19:56:55.842Z | kPaGU | user5 | 95
2023-05-07T19:56:56.083Z | kPaGU | user0 | 95
2023-05-07T19:56:56.231Z | kPaGU | user2 | 96
2023-05-07T19:56:56.367Z | kPaGU | user1 | 96
2023-05-07T19:56:56.465Z | kPaGU | user4 | 96
2023-05-07T19:56:56.551Z | kPaGU | user3 | 96
2023-05-07T19:56:56.545Z | kPaGU | desmond | 96
2023-05-07T19:56:56.845Z | kPaGU | user5 | 96
2023-05-07T19:56:57.085Z | kPaGU | user0 | 96
2023-05-07T19:56:57.234Z | kPaGU | user2 | 96
2023-05-07T19:56:57.368Z | kPaGU | user1 | 96
2023-05-07T19:56:57.466Z | kPaGU | user4 | 96
2023-05-07T19:56:57.548Z | kPaGU | desmond | 96
2023-05-07T19:56:57.554Z | kPaGU | user3 | 96
2023-05-07T19:56:57.848Z | kPaGU | user5 | 96
2023-05-07T19:56:58.087Z | kPaGU | user0 | 96
2023-05-07T19:56:58.237Z | kPaGU | user2 | 96
2023-05-07T19:56:58.370Z | kPaGU | user1 | 96
2023-05-07T19:56:58.468Z | kPaGU | user4 | 97
2023-05-07T19:56:58.550Z | kPaGU | desmond | 97
2023-05-07T19:56:58.555Z | kPaGU | user3 | 97
2023-05-07T19:56:58.858Z | kPaGU | user5 | 97
2023-05-07T19:56:59.094Z | kPaGU | user0 | 97
2023-05-07T19:56:59.239Z | kPaGU | user2 | 97
2023-05-07T19:56:59.375Z | kPaGU | user1 | 97
2023-05-07T19:56:59.469Z | kPaGU | user4 | 97
2023-05-07T19:56:59.554Z | kPaGU | desmond | 98
2023-05-07T19:56:59.556Z | kPaGU | user3 | 98
2023-05-07T19:56:59.871Z | kPaGU | user5 | 44
2023-05-07T19:57:00.101Z | kPaGU | user0 | 44
2023-05-07T19:57:00.243Z | kPaGU | user2 | 47
2023-05-07T19:57:00.384Z | kPaGU | user1 | 56
2023-05-07T19:57:00.479Z | kPaGU | user4 | 72
2023-05-07T19:57:00.556Z | kPaGU | desmond | 96
2023-05-07T19:57:00.560Z | kPaGU | user3 | 92
2023-05-07T19:57:11.938Z | kPaGU | user5 | 98
2023-05-07T19:57:12.157Z | kPaGU | user0 | 98
2023-05-07T19:57:12.293Z | kPaGU | user2 | 98
2023-05-07T19:57:12.434Z | kPaGU | user1 | 98
2023-05-07T19:57:12.533Z | kPaGU | user4 | 98
2023-05-07T19:57:12.611Z | kPaGU | desmond | 98
2023-05-07T19:57:12.627Z | kPaGU | user3 | 98
2023-05-07T19:57:12.940Z | kPaGU | user5 | 44
2023-05-07T19:57:13.159Z | kPaGU | user0 | 44
2023-05-07T19:57:13.297Z | kPaGU | user2 | 47
2023-05-07T19:57:13.438Z | kPaGU | user1 | 55
2023-05-07T19:57:13.535Z | kPaGU | user4 | 64
2023-05-07T19:57:13.613Z | kPaGU | desmond | 88
2023-05-07T19:57:13.629Z | kPaGU | user3 | 70
2023-05-07T19:57:13.942Z | kPaGU | user5 | 99
2023-05-07T19:57:14.165Z | kPaGU | user0 | 99
2023-05-07T19:57:14.299Z | kPaGU | user2 | 99
2023-05-07T19:57:14.440Z | kPaGU | user1 | 99
2023-05-07T19:57:14.538Z | kPaGU | user4 | 99
2023-05-07T19:57:14.616Z | kPaGU | desmond | 100
2023-05-07T19:57:14.631Z | kPaGU | user3 | 99
2023-05-07T19:57:14.945Z | kPaGU | user5 | 100
2023-05-07T19:57:15.177Z | kPaGU | user0 | 100
2023-05-07T19:57:15.302Z | kPaGU | user2 | 100
2023-05-07T19:57:15.441Z | kPaGU | user1 | 100
2023-05-07T19:57:15.539Z | kPaGU | user4 | 99
2023-05-07T19:57:15.632Z | kPaGU | user3 | 99
2023-05-07T19:57:15.619Z | kPaGU | desmond | 100
2023-05-07T19:57:15.948Z | kPaGU | user5 | 99
2023-05-07T19:57:16.181Z | kPaGU | user0 | 100
2023-05-07T19:57:16.303Z | kPaGU | user2 | 100
2023-05-07T19:57:16.443Z | kPaGU | user1 | 100
2023-05-07T19:57:16.541Z | kPaGU | user4 | 100
2023-05-07T19:57:16.634Z | kPaGU | user3 | 100
2023-05-07T19:57:16.633Z | kPaGU | desmond | 100
2023-05-07T19:57:16.949Z | kPaGU | user5 | 101
2023-05-07T19:57:17.183Z | kPaGU | user0 | 100
2023-05-07T19:57:17.304Z | kPaGU | user2 | 101
2023-05-07T19:57:17.447Z | kPaGU | user1 | 101
2023-05-07T19:57:17.543Z | kPaGU | user4 | 101
2023-05-07T19:57:17.636Z | kPaGU | user3 | 101
2023-05-07T19:57:17.635Z | kPaGU | desmond | 102
2023-05-07T19:57:17.952Z | kPaGU | user5 | 101
2023-05-07T19:57:18.185Z | kPaGU | user0 | 102
2023-05-07T19:57:18.306Z | kPaGU | user2 | 102
2023-05-07T19:57:18.448Z | kPaGU | user1 | 102
2023-05-07T19:57:18.546Z | kPaGU | user4 | 102
2023-05-07T19:57:18.637Z | kPaGU | user3 | 102
2023-05-07T19:57:18.637Z | kPaGU | desmond | 103
2023-05-07T19:57:18.955Z | kPaGU | user5 | 103
2023-05-07T19:57:19.188Z | kPaGU | user0 | 103
2023-05-07T19:57:19.308Z | kPaGU | user2 | 103
2023-05-07T19:57:19.449Z | kPaGU | user1 | 103
2023-05-07T19:57:19.552Z | kPaGU | user4 | 103
2023-05-07T19:57:19.639Z | kPaGU | user3 | 103
2023-05-07T19:57:19.639Z | kPaGU | desmond | 104
2023-05-07T19:57:19.957Z | kPaGU | user5 | 103
2023-05-07T19:57:20.191Z | kPaGU | user0 | 104
2023-05-07T19:57:20.311Z | kPaGU | user2 | 104
2023-05-07T19:57:20.451Z | kPaGU | user1 | 104
2023-05-07T19:57:20.553Z | kPaGU | user4 | 103
2023-05-07T19:57:20.640Z | kPaGU | user3 | 103
2023-05-07T19:57:20.641Z | kPaGU | desmond | 104
2023-05-07T19:57:20.958Z | kPaGU | user5 | 104
2023-05-07T19:57:21.193Z | kPaGU | user0 | 104
2023-05-07T19:57:21.313Z | kPaGU | user2 | 104
2023-05-07T19:57:21.452Z | kPaGU | user1 | 104
2023-05-07T19:57:21.554Z | kPaGU | user4 | 104
2023-05-07T19:57:21.642Z | kPaGU | user3 | 104
2023-05-07T19:57:21.642Z | kPaGU | desmond | 105
2023-05-07T19:57:21.960Z | kPaGU | user5 | 105
2023-05-07T19:57:22.196Z | kPaGU | user0 | 105
2023-05-07T19:57:22.315Z | kPaGU | user2 | 105
2023-05-07T19:57:22.453Z | kPaGU | user1 | 105
2023-05-07T19:57:22.555Z | kPaGU | user4 | 105
2023-05-07T19:57:22.646Z | kPaGU | user3 | 105
2023-05-07T19:57:22.645Z | kPaGU | desmond | 106
2023-05-07T19:57:22.962Z | kPaGU | user5 | 106
2023-05-07T19:57:23.197Z | kPaGU | user0 | 106
2023-05-07T19:57:23.317Z | kPaGU | user2 | 106
2023-05-07T19:57:23.454Z | kPaGU | user1 | 106
2023-05-07T19:57:23.556Z | kPaGU | user4 | 106
2023-05-07T19:57:23.649Z | kPaGU | user3 | 106
2023-05-07T19:57:23.647Z | kPaGU | desmond | 107
2023-05-07T19:57:23.964Z | kPaGU | user5 | 106
2023-05-07T19:57:24.198Z | kPaGU | user0 | 107
2023-05-07T19:57:24.319Z | kPaGU | user2 | 107
2023-05-07T19:57:24.455Z | kPaGU | user1 | 107
2023-05-07T19:57:24.557Z | kPaGU | user4 | 107
2023-05-07T19:57:24.648Z | kPaGU | desmond | 107
2023-05-07T19:57:24.651Z | kPaGU | user3 | 107
2023-05-07T19:57:24.965Z | kPaGU | user5 | 107
2023-05-07T19:57:25.199Z | kPaGU | user0 | 107
2023-05-07T19:57:25.322Z | kPaGU | user2 | 107
2023-05-07T19:57:25.457Z | kPaGU | user1 | 107
2023-05-07T19:57:25.558Z | kPaGU | user4 | 107
2023-05-07T19:57:25.650Z | kPaGU | desmond | 108
2023-05-07T19:57:25.652Z | kPaGU | user3 | 107
2023-05-07T19:57:25.966Z | kPaGU | user5 | 108
2023-05-07T19:57:26.201Z | kPaGU | user0 | 108
2023-05-07T19:57:26.323Z | kPaGU | user2 | 108
2023-05-07T19:57:26.458Z | kPaGU | user1 | 108
2023-05-07T19:57:26.561Z | kPaGU | user4 | 108
2023-05-07T19:57:26.654Z | kPaGU | user3 | 108
2023-05-07T19:57:26.652Z | kPaGU | desmond | 109
2023-05-07T19:57:26.968Z | kPaGU | user5 | 109
2023-05-07T19:57:27.202Z | kPaGU | user0 | 109
2023-05-07T19:57:27.325Z | kPaGU | user2 | 109
2023-05-07T19:57:27.460Z | kPaGU | user1 | 109
2023-05-07T19:57:27.562Z | kPaGU | user4 | 109
2023-05-07T19:57:27.655Z | kPaGU | user3 | 109
2023-05-07T19:57:27.654Z | kPaGU | desmond | 110
2023-05-07T19:57:27.969Z | kPaGU | user5 | 110
2023-05-07T19:57:28.204Z | kPaGU | user0 | 110
