2023-05-07T18:14:20.370Z | DsU04 | desmond | 178
2023-05-07T18:14:22.141Z | DsU04 | user0 | 178
2023-05-07T18:14:21.378Z | DsU04 | desmond | 178
2023-05-07T18:14:23.145Z | DsU04 | user0 | 178
2023-05-07T18:14:22.387Z | DsU04 | desmond | 178
2023-05-07T18:14:24.146Z | DsU04 | user0 | 178
2023-05-07T18:14:23.394Z | DsU04 | desmond | 178
2023-05-07T18:14:25.154Z | DsU04 | user0 | 178
2023-05-07T18:14:24.403Z | DsU04 | desmond | 178
2023-05-07T18:14:26.158Z | DsU04 | user0 | 108
2023-05-07T18:14:25.410Z | DsU04 | desmond | 111
2023-05-07T18:14:27.165Z | DsU04 | user0 | 110
2023-05-07T18:14:26.418Z | DsU04 | desmond | 110
2023-05-07T18:14:28.167Z | DsU04 | user0 | 110
2023-05-07T18:14:27.426Z | DsU04 | desmond | 109
2023-05-07T18:14:29.171Z | DsU04 | user0 | 109
2023-05-07T18:14:28.435Z | DsU04 | desmond | 108
2023-05-07T18:14:30.178Z | DsU04 | user0 | 108
2023-05-07T18:14:29.442Z | DsU04 | desmond | 108
2023-05-07T18:14:31.185Z | DsU04 | user0 | 109
2023-05-07T18:14:30.450Z | DsU04 | desmond | 109
2023-05-07T18:14:32.190Z | DsU04 | user0 | 108
2023-05-07T18:14:31.458Z | DsU04 | desmond | 108
2023-05-07T18:14:33.198Z | DsU04 | user0 | 108
2023-05-07T18:14:32.466Z | DsU04 | desmond | 107
2023-05-07T18:14:34.208Z | DsU04 | user0 | 107
2023-05-07T18:14:33.475Z | DsU04 | desmond | 106
2023-05-07T18:14:35.214Z | DsU04 | user0 | 106
2023-05-07T18:14:34.482Z | DsU04 | desmond | 105
2023-05-07T18:14:36.220Z | DsU04 | user0 | 105
2023-05-07T18:14:35.491Z | DsU04 | desmond | 105
2023-05-07T18:14:37.229Z | DsU04 | user0 | 104
2023-05-07T18:14:36.498Z | DsU04 | desmond | 104
2023-05-07T18:14:38.231Z | DsU04 | user0 | 103
2023-05-07T18:14:37.506Z | DsU04 | desmond | 103
2023-05-07T18:14:39.233Z | DsU04 | user0 | 102
2023-05-07T18:14:38.514Z | DsU04 | desmond | 102
2023-05-07T18:14:40.237Z | DsU04 | user0 | 101
2023-05-07T18:14:39.522Z | DsU04 | desmond | 103
2023-05-07T18:14:41.239Z | DsU04 | user0 | 103
2023-05-07T18:14:40.530Z | DsU04 | desmond | 102
2023-05-07T18:14:42.241Z | DsU04 | user0 | 102
2023-05-07T18:14:41.538Z | DsU04 | desmond | 101
2023-05-07T18:14:43.243Z | DsU04 | user0 | 101
2023-05-07T18:14:42.547Z | DsU04 | desmond | 100
2023-05-07T18:14:44.248Z | DsU04 | user0 | 100
2023-05-07T18:14:43.554Z | DsU04 | desmond | 100
2023-05-07T18:14:45.257Z | DsU04 | user0 | 99
2023-05-07T18:14:44.562Z | DsU04 | desmond | 99
2023-05-07T18:14:46.261Z | DsU04 | user0 | 98
2023-05-07T18:14:45.570Z | DsU04 | desmond | 98
2023-05-07T18:14:47.265Z | DsU04 | user0 | 97
2023-05-07T18:14:46.579Z | DsU04 | desmond | 97
2023-05-07T18:14:48.274Z | DsU04 | user0 | 96
2023-05-07T18:14:52.313Z | DsU04 | user0 | 96
2023-05-07T18:14:54.335Z | DsU04 | user0 | 611
2023-05-07T18:14:53.627Z | DsU04 | desmond | 96
2023-05-07T18:14:55.340Z | DsU04 | user0 | 611
2023-05-07T18:14:54.634Z | DsU04 | desmond | 610
2023-05-07T18:14:56.349Z | DsU04 | user0 | 610
2023-05-07T18:14:55.642Z | DsU04 | desmond | 609
2023-05-07T18:14:57.352Z | DsU04 | user0 | 609
2023-05-07T18:14:56.650Z | DsU04 | desmond | 608
2023-05-07T18:14:58.355Z | DsU04 | user0 | 608
2023-05-07T18:14:57.658Z | DsU04 | desmond | 607
2023-05-07T18:14:59.357Z | DsU04 | user0 | 607
2023-05-07T18:14:58.666Z | DsU04 | desmond | 607
2023-05-07T18:15:00.360Z | DsU04 | user0 | 606
2023-05-07T18:14:59.674Z | DsU04 | desmond | 606
2023-05-07T18:15:01.365Z | DsU04 | user0 | 606
2023-05-07T18:15:00.682Z | DsU04 | desmond | 605
2023-05-07T18:15:02.368Z | DsU04 | user0 | 605
2023-05-07T18:15:01.690Z | DsU04 | desmond | 604
2023-05-07T18:15:03.372Z | DsU04 | user0 | 604
2023-05-07T18:15:02.698Z | DsU04 | desmond | 603
2023-05-07T18:15:04.375Z | DsU04 | user0 | 603
2023-05-07T18:15:03.706Z | DsU04 | desmond | 602
2023-05-07T18:15:05.378Z | DsU04 | user0 | 602
2023-05-07T18:15:04.714Z | DsU04 | desmond | 601
2023-05-07T18:15:06.406Z | DsU04 | user0 | 537
2023-05-07T18:15:05.723Z | DsU04 | desmond | 536
2023-05-07T18:15:07.412Z | DsU04 | user0 | 536
2023-05-07T18:15:06.730Z | DsU04 | desmond | 536
2023-05-07T18:15:08.422Z | DsU04 | user0 | 535
2023-05-07T18:15:07.737Z | DsU04 | desmond | 535
2023-05-07T18:15:09.426Z | DsU04 | user0 | 534
2023-05-07T18:15:08.747Z | DsU04 | desmond | 534
2023-05-07T18:15:10.438Z | DsU04 | user0 | 533
2023-05-07T18:15:09.755Z | DsU04 | desmond | 533
2023-05-07T18:15:11.471Z | DsU04 | user0 | 533
2023-05-07T18:15:10.762Z | DsU04 | desmond | 532
2023-05-07T18:15:12.476Z | DsU04 | user0 | 532
2023-05-07T18:15:11.771Z | DsU04 | desmond | 531
2023-05-07T18:15:13.488Z | DsU04 | user0 | 531
2023-05-07T18:15:12.778Z | DsU04 | desmond | 530
2023-05-07T18:15:14.491Z | DsU04 | user0 | 530
2023-05-07T18:15:13.787Z | DsU04 | desmond | 529
2023-05-07T18:15:15.494Z | DsU04 | user0 | 529
2023-05-07T18:15:14.802Z | DsU04 | desmond | 528
2023-05-07T18:15:16.499Z | DsU04 | user0 | 528
2023-05-07T18:15:15.810Z | DsU04 | desmond | 528
2023-05-07T18:15:17.504Z | DsU04 | user0 | 527
2023-05-07T18:15:16.818Z | DsU04 | desmond | 527
2023-05-07T18:15:18.510Z | DsU04 | user0 | 463
2023-05-07T18:15:17.826Z | DsU04 | desmond | 526
2023-05-07T18:15:19.512Z | DsU04 | user0 | 462
2023-05-07T18:15:18.834Z | DsU04 | desmond | 462
2023-05-07T18:15:20.516Z | DsU04 | user0 | 461
2023-05-07T18:15:19.842Z | DsU04 | desmond | 461
2023-05-07T18:15:21.518Z | DsU04 | user0 | 460
2023-05-07T18:15:20.850Z | DsU04 | desmond | 460
2023-05-07T18:15:22.522Z | DsU04 | user0 | 460
2023-05-07T18:15:21.858Z | DsU04 | desmond | 459
2023-05-07T18:15:23.525Z | DsU04 | user0 | 459
2023-05-07T18:15:22.866Z | DsU04 | desmond | 458
2023-05-07T18:15:24.530Z | DsU04 | user0 | 458
2023-05-07T18:15:23.874Z | DsU04 | desmond | 457
2023-05-07T18:15:25.549Z | DsU04 | user0 | 457
2023-05-07T18:15:24.882Z | DsU04 | desmond | 456
