2023-05-07T19:25:15.568Z | aDxcQ | user0 | 0.0001103291463998892
2023-05-07T19:25:15.597Z | aDxcQ | user15 | 0.000042224733028949485
2023-05-07T19:25:15.761Z | aDxcQ | user5 | 0.00011305353351100491
2023-05-07T19:25:15.819Z | aDxcQ | user17 | 0.00020023018980221512
2023-05-07T19:25:15.827Z | aDxcQ | user3 | 0.00006810436284230539
2023-05-07T19:25:15.875Z | aDxcQ | user14 | 0.000023155547297712285
2023-05-07T19:25:15.874Z | aDxcQ | desmond | 0.0001770713547257659
2023-05-07T19:25:15.868Z | aDxcQ | user6 | 0.00016073143263011126
2023-05-07T19:25:16.114Z | aDxcQ | user12 | 0.00018524852383487874
2023-05-07T19:25:16.263Z | aDxcQ | user7 | 0.000028603815328897415
2023-05-07T19:25:16.312Z | aDxcQ | user1 | 0.00006265599401536096
2023-05-07T19:25:16.353Z | aDxcQ | user4 | 0.00007219137458300985
2023-05-07T19:25:16.378Z | aDxcQ | user16 | 0.000024517726545805776
2023-05-07T19:25:16.443Z | aDxcQ | user11 | 0.00006946687759207991
2023-05-07T19:25:16.476Z | aDxcQ | user2 | 0.000028604365389025174
2023-05-07T19:25:16.575Z | aDxcQ | user0 | 0.0001103291463998892
2023-05-07T19:25:16.608Z | aDxcQ | user15 | 0.000042224733028949485
2023-05-07T19:25:16.767Z | aDxcQ | user5 | 0.00011305353351100491
2023-05-07T19:25:16.830Z | aDxcQ | user3 | 0.00006810436284230539
2023-05-07T19:25:16.830Z | aDxcQ | user17 | 0.00020023018980221512
2023-05-07T19:25:16.878Z | aDxcQ | user14 | 0.000023155547297712285
2023-05-07T19:25:16.878Z | aDxcQ | user6 | 0.00016073143263011126
2023-05-07T19:25:16.894Z | aDxcQ | desmond | 0.0001770713547257659
2023-05-07T19:25:17.120Z | aDxcQ | user12 | 0.00018524852383487874
2023-05-07T19:25:17.272Z | aDxcQ | user7 | 0.000028603815328897415
2023-05-07T19:25:17.362Z | aDxcQ | user4 | 0.00007219137458300985
2023-05-07T19:25:17.380Z | aDxcQ | user16 | 0.000024517726545805776
2023-05-07T19:25:17.322Z | aDxcQ | user1 | 0.00006265599401536096
2023-05-07T19:25:17.452Z | aDxcQ | user11 | 0.00006946687759207991
2023-05-07T19:25:17.487Z | aDxcQ | user2 | 0.000028604365389025174
2023-05-07T19:25:17.584Z | aDxcQ | user0 | 0.0001103291463998892
2023-05-07T19:25:17.619Z | aDxcQ | user15 | 0.000042224733028949485
2023-05-07T19:25:17.773Z | aDxcQ | user5 | 0.00011305353351100491
2023-05-07T19:25:17.838Z | aDxcQ | user3 | 0.00006810436284230539
2023-05-07T19:25:17.886Z | aDxcQ | user14 | 0.000023155547297712285
2023-05-07T19:25:17.886Z | aDxcQ | user6 | 0.00016073143263011126
2023-05-07T19:25:17.903Z | aDxcQ | desmond | 0.0001770713547257659
2023-05-07T19:25:17.838Z | aDxcQ | user17 | 0.00020023018980221512
2023-05-07T19:25:18.132Z | aDxcQ | user12 | 0.00018524852383487874
2023-05-07T19:25:18.278Z | aDxcQ | user7 | 0.000028603815328897415
2023-05-07T19:25:18.329Z | aDxcQ | user1 | 0.00006265599401536096
2023-05-07T19:25:18.371Z | aDxcQ | user4 | 0.00007219137458300985
2023-05-07T19:25:18.389Z | aDxcQ | user16 | 0.000024517726545805776
2023-05-07T19:25:18.495Z | aDxcQ | user2 | 0.000028604365389025174
2023-05-07T19:25:18.454Z | aDxcQ | user11 | 0.00006946687759207991
2023-05-07T19:25:18.841Z | aDxcQ | user3 | 0.00006810436284230539
2023-05-07T19:25:18.847Z | aDxcQ | user17 | 0.00020023018980221512
2023-05-07T19:25:18.888Z | aDxcQ | user14 | 0.000023155547297712285
2023-05-07T19:25:18.888Z | aDxcQ | user6 | 0.00016073143263011126
2023-05-07T19:25:18.593Z | aDxcQ | user0 | 0.0001103291463998892
2023-05-07T19:25:18.626Z | aDxcQ | user15 | 0.000042224733028949485
2023-05-07T19:25:19.138Z | aDxcQ | user12 | 0.00018524852383487874
2023-05-07T19:25:19.338Z | aDxcQ | user1 | 0.00006265599401536096
2023-05-07T19:25:18.783Z | aDxcQ | user5 | 0.00011305353351100491
