2023-05-07T19:13:52.918Z | mtYK9 | user1 | 0.00014165705232988037
2023-05-07T19:13:52.924Z | mtYK9 | user2 | 0.00003405217052137623
2023-05-07T19:13:52.981Z | mtYK9 | user5 | 0.000025879858103625663
2023-05-07T19:13:52.958Z | mtYK9 | user4 | 0.00026561382757581126
2023-05-07T19:13:53.096Z | mtYK9 | desmond | 0.000021793403560351565
2023-05-07T19:13:53.252Z | mtYK9 | user9 | 0.00009943492006684216
2023-05-07T19:13:53.335Z | mtYK9 | user8 | 0.00006129423312635551
2023-05-07T19:13:53.506Z | mtYK9 | user3 | 0.00005312173658018872
2023-05-07T19:13:53.507Z | mtYK9 | user7 | 0.000051759521341022724
2023-05-07T19:13:53.727Z | mtYK9 | user0 | 0.00004767316879472155
2023-05-07T19:13:53.826Z | mtYK9 | user6 | 0.00032417708195985143
2023-05-07T19:13:53.966Z | mtYK9 | user4 | 0.00026561382757581126
2023-05-07T19:13:53.932Z | mtYK9 | user2 | 0.00003405217052137623
2023-05-07T19:13:53.924Z | mtYK9 | user1 | 0.00014165705232988037
2023-05-07T19:13:54.112Z | mtYK9 | desmond | 0.000021793403560351565
2023-05-07T19:13:53.990Z | mtYK9 | user5 | 0.000025879858103625663
2023-05-07T19:13:54.259Z | mtYK9 | user9 | 0.00009943492006684216
2023-05-07T19:13:54.343Z | mtYK9 | user8 | 0.00006129423312635551
2023-05-07T19:13:54.515Z | mtYK9 | user3 | 0.00005312173658018872
2023-05-07T19:13:54.515Z | mtYK9 | user7 | 0.000051759521341022724
2023-05-07T19:13:54.736Z | mtYK9 | user0 | 0.00004767316879472155
2023-05-07T19:13:54.836Z | mtYK9 | user6 | 0.00032417708195985143
2023-05-07T19:13:54.936Z | mtYK9 | user2 | 0.00003405217052137623
2023-05-07T19:13:54.936Z | mtYK9 | user1 | 0.00014165705232988037
2023-05-07T19:13:54.969Z | mtYK9 | user4 | 0.00026561382757581126
2023-05-07T19:13:54.991Z | mtYK9 | user5 | 0.000025879858103625663
2023-05-07T19:13:55.139Z | mtYK9 | desmond | 0.000021793403560351565
2023-05-07T19:13:55.263Z | mtYK9 | user9 | 0.00009943492006684216
2023-05-07T19:13:55.344Z | mtYK9 | user8 | 0.00006129423312635551
2023-05-07T19:13:55.526Z | mtYK9 | user3 | 0.00005312173658018872
2023-05-07T19:13:55.526Z | mtYK9 | user7 | 0.000051759521341022724
2023-05-07T19:13:55.742Z | mtYK9 | user0 | 0.00004767316879472155
2023-05-07T19:13:55.841Z | mtYK9 | user6 | 0.00032417708195985143
2023-05-07T19:13:55.947Z | mtYK9 | user2 | 0.00003405217052137623
2023-05-07T19:13:55.939Z | mtYK9 | user1 | 0.00014165705232988037
2023-05-07T19:13:55.996Z | mtYK9 | user5 | 0.000025879858103625663
