2023-05-07T19:13:54.259Z | mtYK9 | user9 | 29
2023-05-07T19:13:54.342Z | mtYK9 | user8 | 29
2023-05-07T19:13:54.514Z | mtYK9 | user7 | 29
2023-05-07T19:13:54.515Z | mtYK9 | user3 | 29
2023-05-07T19:13:54.736Z | mtYK9 | user0 | 29
2023-05-07T19:13:54.835Z | mtYK9 | user6 | 29
2023-05-07T19:13:54.934Z | mtYK9 | user2 | 29
2023-05-07T19:13:54.934Z | mtYK9 | user1 | 29
2023-05-07T19:13:54.966Z | mtYK9 | user4 | 29
2023-05-07T19:13:54.991Z | mtYK9 | user5 | 29
2023-05-07T19:13:55.138Z | mtYK9 | desmond | 35
2023-05-07T19:13:55.262Z | mtYK9 | user9 | 29
2023-05-07T19:13:55.344Z | mtYK9 | user8 | 42
2023-05-07T19:13:55.526Z | mtYK9 | user7 | 42
2023-05-07T19:13:55.526Z | mtYK9 | user3 | 42
2023-05-07T19:13:55.741Z | mtYK9 | user0 | 42
2023-05-07T19:13:55.840Z | mtYK9 | user6 | 42
2023-05-07T19:13:55.946Z | mtYK9 | user2 | 42
2023-05-07T19:13:55.938Z | mtYK9 | user1 | 42
2023-05-07T19:13:55.971Z | mtYK9 | user4 | 42
2023-05-07T19:13:55.995Z | mtYK9 | user5 | 42
2023-05-07T19:13:56.149Z | mtYK9 | desmond | 35
2023-05-07T19:13:56.268Z | mtYK9 | user9 | 42
2023-05-07T19:13:56.350Z | mtYK9 | user8 | 42
2023-05-07T19:13:56.530Z | mtYK9 | user7 | 42
2023-05-07T19:13:56.530Z | mtYK9 | user3 | 42
2023-05-07T19:13:56.743Z | mtYK9 | user0 | 42
2023-05-07T19:13:56.843Z | mtYK9 | user6 | 42
2023-05-07T19:13:56.941Z | mtYK9 | user1 | 42
2023-05-07T19:13:56.949Z | mtYK9 | user2 | 42
2023-05-07T19:13:56.974Z | mtYK9 | user4 | 42
2023-05-07T19:13:56.998Z | mtYK9 | user5 | 42
2023-05-07T19:13:57.169Z | mtYK9 | desmond | 35
2023-05-07T19:13:57.276Z | mtYK9 | user9 | 42
2023-05-07T19:13:57.359Z | mtYK9 | user8 | 42
2023-05-07T19:13:57.535Z | mtYK9 | user7 | 42
2023-05-07T19:13:57.534Z | mtYK9 | user3 | 42
2023-05-07T19:13:57.757Z | mtYK9 | user0 | 42
2023-05-07T19:13:57.980Z | mtYK9 | user2 | 42
2023-05-07T19:13:57.983Z | mtYK9 | user4 | 42
2023-05-07T19:13:57.851Z | mtYK9 | user6 | 42
2023-05-07T19:13:57.959Z | mtYK9 | user1 | 42
2023-05-07T19:13:58.109Z | mtYK9 | user5 | 42
2023-05-07T19:13:58.171Z | mtYK9 | desmond | 35
2023-05-07T19:13:58.363Z | mtYK9 | user8 | 42
2023-05-07T19:13:58.356Z | mtYK9 | user9 | 42
2023-05-07T19:13:58.546Z | mtYK9 | user3 | 42
2023-05-07T19:13:58.546Z | mtYK9 | user7 | 42
2023-05-07T19:14:07.852Z | mtYK9 | user0 | 42
2023-05-07T19:14:07.924Z | mtYK9 | user6 | 42
2023-05-07T19:14:08.028Z | mtYK9 | user1 | 42
2023-05-07T19:14:08.085Z | mtYK9 | user2 | 42
2023-05-07T19:14:08.208Z | mtYK9 | user4 | 42
2023-05-07T19:14:08.215Z | mtYK9 | user5 | 42
2023-05-07T19:14:08.317Z | mtYK9 | desmond | 35
2023-05-07T19:14:08.440Z | mtYK9 | user9 | 42
2023-05-07T19:14:08.440Z | mtYK9 | user8 | 42
2023-05-07T19:14:08.637Z | mtYK9 | user3 | 42
2023-05-07T19:14:08.637Z | mtYK9 | user7 | 42
2023-05-07T19:14:08.858Z | mtYK9 | user0 | 42
2023-05-07T19:14:08.931Z | mtYK9 | user6 | 42
2023-05-07T19:14:09.036Z | mtYK9 | user1 | 42
2023-05-07T19:14:09.089Z | mtYK9 | user2 | 42
2023-05-07T19:14:09.210Z | mtYK9 | user4 | 42
2023-05-07T19:14:09.221Z | mtYK9 | user5 | 42
2023-05-07T19:14:09.323Z | mtYK9 | desmond | 35
2023-05-07T19:14:09.448Z | mtYK9 | user9 | 42
2023-05-07T19:14:09.448Z | mtYK9 | user8 | 42
2023-05-07T19:14:09.643Z | mtYK9 | user7 | 42
2023-05-07T19:14:09.643Z | mtYK9 | user3 | 42
2023-05-07T19:14:09.865Z | mtYK9 | user0 | 42
2023-05-07T19:14:09.938Z | mtYK9 | user6 | 42
2023-05-07T19:14:10.045Z | mtYK9 | user1 | 42
2023-05-07T19:14:10.093Z | mtYK9 | user2 | 42
2023-05-07T19:14:10.218Z | mtYK9 | user4 | 42
2023-05-07T19:14:10.225Z | mtYK9 | user5 | 42
2023-05-07T19:14:10.329Z | mtYK9 | desmond | 35
2023-05-07T19:14:10.454Z | mtYK9 | user9 | 42
2023-05-07T19:14:10.455Z | mtYK9 | user8 | 42
2023-05-07T19:14:10.652Z | mtYK9 | user7 | 42
2023-05-07T19:14:10.652Z | mtYK9 | user3 | 42
2023-05-07T19:14:10.873Z | mtYK9 | user0 | 42
